Title,Company,Experience,Salary,Location,Skills,Link
employer branding assistant,global pueblo solutions,0-1 yrs,,"mohali, s.a.s. nagar","administration, data analysis, content management, networking, social media, project management, employee engagement, project planning",https://www.naukri.com/job-listings-employer-branding-assistant-global-pueblo-solutions-mohali-s-a-s-nagar-0-to-1-years-100723500339
engineer/sr engineer - dot net,"railway signaling , design & engineering solutions.",4-9 yrs,7-9.5 lacs pa,bengaluru(jp nagar),"net core, postgresql, sql, sr, dot, core, engineering, .net core",https://www.naukri.com/job-listings-engineer-sr-engineer-dot-net-teamlease-services-limited-bengaluru-4-to-9-years-020425007071
dot net core developer-4-12y-pwc ac,pwc service delivery center,4-9 yrs,,"pune, chennai, bengaluru",".net core, asp.net core, asp.net core mvc, dot, asp.net, .net, ac, core",https://www.naukri.com/job-listings-dot-net-core-developer-4-12y-pwc-ac-pwc-service-delivery-center-pune-chennai-bengaluru-4-to-9-years-250325014025
marketing executives/mba internship - top poster colors bakin paints,gips consultancy,0-5 yrs,"80,000-3 lacs pa","pune, mumbai (all areas)","business development, field marketing, calling, marketing campaigns, sales promotion, sales, trade shows, meeting planning",https://www.naukri.com/job-listings-marketing-executives-mba-internship-top-poster-colors-bakin-paints-gips-consultancy-pune-mumbai-all-areas-0-to-5-years-240325003192
internship trainee,texinvento fashion exports,0-4 yrs,"60,000-2.4 lacs pa",new delhi(khanpur),"cold calling, sales, lead generation, calling, cold, training, generation",https://www.naukri.com/job-listings-internship-trainee-texinvento-fashion-exports-new-delhi-0-to-4-years-290325008586
software intern -freshers,irohub infotech,0 yrs,,"hybrid - kochi(padamughal), ernakulam(kakkanad)","ui/ux, ux design, software testing, digital marketing, power bi, mobile development, artificial intelligence, live-project",https://www.naukri.com/job-listings-software-intern-freshers-irohub-infotech-kochi-ernakulam-0-to-0-years-171024030062
internship trainee,walkaroo international,0-1 yrs,"50,000-1 lacs pa",coimbatore,"internship, data management, production, advanced excel, excel, management, data, training",https://www.naukri.com/job-listings-internship-trainee-walkaroo-international-coimbatore-0-to-1-years-270325014921
opening for dot net developer fresher @andheri,squad infotech private ltd,0 yrs,,mumbai,".net, development, dot",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-andheri-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600519
internship trainee,visys cloud technologies,,,,"marketing research, research analysis, marketing analytics, consumer insights, research, analysis, consumer insight, market research",https://www.naukri.com/job-listings-internship-trainee-visys-cloud-technologies-vijayawada-hyderabad-0-to-1-years-270325007768
fresher - java - dot net( trained candidates required),sairam global technologies,0-1 yrs,3.5-4 lacs pa,"bhubaneswar, visakhapatnam, hyderabad","java, dotnet development, dotnet, javascript, spring, hibernate, spring mvc, full stack",https://www.naukri.com/job-listings-fresher-java-dot-net-trained-candidates-required-sairam-global-technologies-bhubaneswar-visakhapatnam-hyderabad-0-to-1-years-270325025564
opening for dot net developer fresher @mulund,squad infotech private ltd,0 yrs,,mumbai,"c#, .net, html, asp.net, sql, dot, development",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-mulund-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600580
production trainee,prolegion,0-1 yrs,,chennai,"quality control, production, equipment maintenance, equipment, autocad, material planning, production management, manpower handling",https://www.naukri.com/job-listings-production-trainee-prolegion-chennai-0-to-1-years-040425500706
